model,config,persona,humane_score,ci_lower,ci_upper
claude-sonnet-4,drop_gemini,good_persona,0.7875909606266749,0.7668042945397856,0.8061624987116057
claude-sonnet-4.5,drop_gemini,good_persona,0.8437365362811792,0.8248220486111111,0.8629587939342404
deepseek-v3.1-terminus,drop_gemini,good_persona,0.7795122013582065,0.7592482991370947,0.800430146274575
gemini-2.0-flash-001,drop_gemini,good_persona,0.760803837159864,0.7380541892538266,0.7841538783482144
gemini-2.5-flash,drop_gemini,good_persona,0.695344350398313,0.6701186220899394,0.7193189949592574
gemini-2.5-pro,drop_gemini,good_persona,0.8645359848484848,0.8460283172928261,0.8830753130797774
gemini-3-pro-preview,drop_gemini,good_persona,0.8969543650793651,0.8809840561224489,0.9122817814625851
gpt-4.1,drop_gemini,good_persona,0.748625283446712,0.7257971407312924,0.7693537060657596
gpt-4o-2024-11-20,drop_gemini,good_persona,0.6991468253968254,0.6750018246882087,0.7222020797902493
gpt-5,drop_gemini,good_persona,0.9103217120181406,0.8939823022959185,0.924897161989796
gpt-5.1,drop_gemini,good_persona,0.8866631880024738,0.8709081439393939,0.9007680407390228
grok-4,drop_gemini,good_persona,0.8546617748222884,0.8349241429717955,0.873569506348888
llama-3.1-405b-instruct,drop_gemini,good_persona,0.5816721584467119,0.5522188895089286,0.6109251855690192
llama-4-maverick,drop_gemini,good_persona,0.5808255385487529,0.5535208156179138,0.6089396435657597
claude-opus-4.1,drop_gemini,bad_persona,0.62468962585034,0.5920977714002268,0.6573862492913833
claude-sonnet-4,drop_gemini,bad_persona,0.44817080241187385,0.4140189136260565,0.48239698322510827
claude-sonnet-4.5,drop_gemini,bad_persona,0.714046201814059,0.687063492063492,0.7408118445294785
deepseek-v3.1-terminus,drop_gemini,bad_persona,-0.36779929396000827,-0.39313590142496396,-0.3423189323077716
gemini-2.0-flash-001,drop_gemini,bad_persona,-0.6345528628117914,-0.6511395620748298,-0.6172399376417234
gemini-2.5-flash,drop_gemini,bad_persona,-0.6245323129251701,-0.6386025191326531,-0.6098536174886621
gemini-2.5-pro,drop_gemini,bad_persona,-0.6717216810966811,-0.6896157622139765,-0.654263645704494
gemini-3-pro-preview,drop_gemini,bad_persona,-0.45024092970521545,-0.5051601296768707,-0.3962234091553288
gpt-4.1,drop_gemini,bad_persona,-0.5673295975693649,-0.5872231480021785,-0.5462977169800506
gpt-4o-2024-11-20,drop_gemini,bad_persona,-0.5420719954648526,-0.5588603847789115,-0.5250720308956915
gpt-5,drop_gemini,bad_persona,0.7801969954648525,0.7581380739795919,0.8030855300453514
gpt-5.1,drop_gemini,bad_persona,0.7887499355802927,0.7685732258812615,0.8089695826247165
grok-4,drop_gemini,bad_persona,-0.6605312693259122,-0.6744476235569985,-0.6452915861420325
llama-3.1-405b-instruct,drop_gemini,bad_persona,-0.4633195475159761,-0.4868251777983921,-0.44085998215574107
llama-4-maverick,drop_gemini,bad_persona,-0.1573806947021233,-0.18662388392857143,-0.12681045467429394
